170,18-JUL-20,Saturday,1554,2,8-WEST
159,18-JUL-20,Saturday,1557,2,9-WEST
157,18-JUL-20,Saturday,1601,6,4-CENTRAL
158,18-JUL-20,Saturday,1601,4,4-CENTRAL
156,18-JUL-20,Saturday,1612,5,5-WEST
167,18-JUL-20,Saturday,1647,8,4-CENTRAL
168,18-JUL-20,Saturday,1647,2,1-EAST
169,18-JUL-20,Saturday,1647,2,4-CENTRAL
166,18-JUL-20,Saturday,1648,2,2-WEST
164,18-JUL-20,Saturday,1650,2,9-WEST
165,18-JUL-20,Saturday,1650,4,9-WEST
172,19-JUL-20,Sunday,1322,4,5-WEST
173,19-JUL-20,Sunday,1333,1,3-CENTRAL
175,19-JUL-20,Sunday,1436,3,8-WEST
174,19-JUL-20,Sunday,1437,3,4-CENTRAL
177,19-JUL-20,Sunday,1534,1,9-WEST
178,19-JUL-20,Sunday,1536,5,8-WEST
176,19-JUL-20,Sunday,1537,6,2-EAST
179,19-JUL-20,Sunday,1618,5,2-CENTRAL
180,19-JUL-20,Sunday,1722,3,4-CENTRAL
181,19-JUL-20,Sunday,1722,3,8-WEST
182,19-JUL-20,Sunday,1725,2,9-WEST
183,20-JUL-20,Monday,1129,6,7-WEST
187,20-JUL-20,Monday,1630,1,2-CENTRAL
184,20-JUL-20,Monday,1631,3,7-WEST
185,20-JUL-20,Monday,1700,7,8-WEST
189,20-JUL-20,Monday,1711,1,1-EAST
186,20-JUL-20,Monday,1722,12,4-CENTRAL
188,20-JUL-20,Monday,1838,9,4-CENTRAL
190,20-JUL-20,Monday,1900,1,8-WEST
191,21-JUL-20,Tuesday,1146,3,5-CENTRAL
199,21-JUL-20,Tuesday,1222,4,2-EAST
200,21-JUL-20,Tuesday,1320,2,9-WEST
201,21-JUL-20,Tuesday,1320,6,5-WEST
202,21-JUL-20,Tuesday,1343,7,4-CENTRAL
198,21-JUL-20,Tuesday,1529,7,10-WEST
197,21-JUL-20,Tuesday,1530,5,5-WEST
195,21-JUL-20,Tuesday,1555,1,2-EAST
196,21-JUL-20,Tuesday,1600,5,9-WEST
203,21-JUL-20,Tuesday,1625,1,4-CENTRAL
194,21-JUL-20,Tuesday,1805,12,9-WEST
193,21-JUL-20,Tuesday,1923,3,4-CENTRAL
192,21-JUL-20,Tuesday,1950,4,5-CENTRAL
205,22-JUL-20,Wednesday,1231,4,2-CENTRAL
204,22-JUL-20,Wednesday,1232,2,2-CENTRAL
206,22-JUL-20,Wednesday,1443,2,4-CENTRAL
207,22-JUL-20,Wednesday,1617,1,4-CENTRAL
208,23-JUL-20,Thursday,1109,1,ED
209,23-JUL-20,Thursday,1109,2,ED
